p,ct,sa,sigma1,alpha_smooth,beta_smooth,turner_ang,density_ratio,mixed_layer_final_mask,mixed_layer_temp_mask,mixed_layer_sal_mask,mixed_layer_sigma_mask,mixed_layer_mask,gradient_layer_final_mask,mixed_layer_step1_mask,grad_layer_step2_mask,grad_layer_step3_mask,grad_layer_step4_mask,mixed_layer_salt_finger_mask,gradient_layer_salt_finger_mask,mixed_layer_diffusive_convective_mask,gradient_layer_diffusive_convective_mask
1.0,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2.0,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3.0,20.88782,38.53593,31.287652881514532,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4.0,20.885466,38.53595,31.288355880570407,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True
5.0,20.88228,38.535965,31.289299359334564,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6.0,20.879093,38.535984,31.290246151878137,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7.0,20.877405,38.536,31.29075139375368,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True
8.0,20.875307,38.53602,31.291379427747415,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9.0,20.87283,38.536037,31.292118472734273,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10.0,20.869968,38.535606,31.292635293726107,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True
11.0,20.86647,38.53502,31.293222225615864,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True
12.0,20.863962,38.534985,31.293930357453974,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True
13.0,20.862864,38.534954,31.294229022898662,,,,,True,True,True,False,True,True,True,True,True,True,True,True,True,True
14.0,20.86124,38.534924,31.294681085057846,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True
15.0,20.858831,38.534893,31.295362943283635,,,,,True,True,True,False,True,True,True,True,True,True,True,True,True,True
16.0,20.857754,38.53486,31.295652595986212,,,,,True,True,True,False,True,True,True,True,True,True,True,True,True,True
17.0,20.856655,38.53483,31.295951208501492,,,,,True,True,True,False,True,True,True,True,True,True,True,True,True,True
18.0,20.854933,38.534798,31.296432195354555,,,,,True,True,True,False,True,True,True,True,True,True,True,True,True,True
19.0,20.85319,38.534767,31.296919294162308,,,,,True,True,True,False,True,True,True,True,True,True,True,True,True,True
20.0,20.852,38.534733,31.297241803995803,,,,,True,True,True,False,True,True,True,True,True,True,True,True,True,True
21.0,20.851362,38.534718,31.297416740714652,,,,,True,True,True,False,True,True,True,True,True,True,True,True,True,True
22.0,20.849508,38.534702,31.297947469688552,,,,,True,True,True,False,True,True,True,True,True,True,True,True,True,True
23.0,20.847885,38.534687,31.298410697920872,,,,,True,True,True,False,True,True,True,True,True,True,True,True,True,True
24.0,20.847239,38.534676,31.298591235989534,,,,,True,True,True,False,True,True,True,True,True,True,True,True,True,True
25.0,20.846048,38.53466,31.29892785829975,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True
26.0,20.843197,38.534645,31.29975012515729,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True
27.0,20.841131,38.53463,31.30034262482195,,,,,True,True,True,False,True,True,True,True,True,True,True,True,True,True
28.0,20.840485,38.534615,31.300520295661727,,,,,True,True,True,False,True,True,True,True,True,True,True,True,True,True
29.0,20.839294,38.5346,31.300856855992606,,,58.18472684619604,4.268639690003392,True,True,True,False,True,True,True,True,True,True,True,True,True,True
