p,ct,sa,gl_sf_mask,ml_sf_mask
1,,,True,True
2,26.683136136273653,35.69646530649196,True,True
3,26.683557258420144,35.71488426049868,True,True
4,26.692066032482582,35.7267604415901,True,True
5,26.692066032482582,35.7267604415901,True,True
6,26.692797814726703,35.72545054795868,True,True
7,26.693329287320868,35.72565578566281,True,True
8,26.696288977252124,35.72586102336693,True,True
9,26.698060461894524,35.72586102336693,True,True
10,26.69887096259656,35.72611684237036,True,True
11,26.7011852267168,35.72622561683475,True,True
12,26.70197747483731,35.72622561683475,True,True
13,26.702160459231667,35.72611684237036,True,True
14,26.702160459231667,35.72611684237036,True,True
15,26.702160459231667,35.726445846878406,True,True
16,26.702160459231667,35.726774851386445,True,True
17,26.702025324107908,35.726774851386445,True,True
18,26.702160459231667,35.726774851386445,True,True
19,26.702025324107908,35.726774851386445,True,True
20,26.702025324107908,35.72599752923272,True,True
21,26.70089727520129,35.72599752923272,True,True
22,26.700514457213625,35.72599752923272,True,True
23,26.700514457213625,35.726272359836706,True,True
24,26.700514457213625,35.7263645101224,True,True
25,26.70189084707308,35.7263645101224,True,True
26,26.70189084707308,35.72694061322303,True,True
27,26.70189084707308,35.72694061322303,True,True
28,26.70143638386989,35.72624812133159,True,True
29,26.70139629095852,35.726048342649364,True,True
30,26.701356198047147,35.72584856396713,True,True
31,26.701356198047147,35.72624812133159,True,True
32,26.70143638386989,35.72574206345053,True,True
33,26.70143638386989,35.72574206345053,True,True
34,26.70104498673033,35.72574206345053,True,True
35,26.70115316798001,35.72588316005339,True,True
36,26.70115316798001,35.72588316005339,True,True
37,26.70115316798001,35.72607108879732,True,True
38,26.70188713298378,35.72616131294933,True,True
39,26.707852564173,35.73041109839232,True,True
40,26.70960749054653,35.73137047617862,True,True
41,26.70960749054653,35.73137047617862,True,True
42,26.70962804009779,35.73241498495884,True,True
43,26.70962804009779,35.73137047617862,True,True
44,26.709310894466302,35.731191161414294,True,True
45,26.707608461618435,35.73032049484129,True,True
46,26.707608461618435,35.73032049484129,True,True
47,26.706683250411345,35.72935504053247,True,True
48,26.707608461618435,35.72935504053247,True,True
49,26.70624146144116,35.72935504053247,True,True
50,26.70624146144116,35.72935504053247,True,True
51,26.7047548056508,35.72935504053247,True,True
52,26.7047548056508,35.72759099849019,True,True
53,26.7047548056508,35.72759099849019,True,True
54,26.7047548056508,35.7275235010174,True,True
55,26.7047548056508,35.7275235010174,True,True
56,26.70431094463261,35.7275235010174,True,True
57,26.70344845365324,35.72815174921238,True,True
58,26.70344845365324,35.727142127788966,True,True
59,26.70431094463261,35.72815174921238,True,True
60,26.704747366492533,35.72832749793217,True,True
61,26.70478160975605,35.72866474842736,True,True
62,26.70478160975605,35.72961878309241,True,True
63,26.704747366492533,35.72961878309241,True,True
64,26.70273997975217,35.73123252655779,True,True
65,26.70273997975217,35.731732702861095,True,True
66,26.70273997975217,35.731966929049854,True,True
67,26.71027711829485,35.736614431571866,True,True
68,26.72460429400068,35.75746576436924,True,True
69,26.75137820578603,35.785104350996484,True,True
70,26.79237460691696,35.7952571358487,True,True
71,27.362597670620964,36.50555622303105,True,True
72,27.563108487088897,37.082699692068246,True,True
73,27.563108487088897,37.0963135584941,True,True
74,27.563108487088897,37.105450536608295,True,True
75,27.52606132323677,37.111761753096985,True,True
76,27.497355742151104,37.11122314762006,True,True
77,27.43093421642862,37.111761753096985,True,True
78,27.383152918211533,37.111761753096985,True,True
79,27.34061707606242,37.11122314762006,True,True
80,27.12393900994752,37.11122314762006,True,True
81,27.05399853089812,37.11693025374332,True,True
82,27.00777194550876,37.12154773580489,True,True
83,26.87977518148164,37.14948408767677,True,True
84,26.62697377361867,37.17433811929307,True,True
85,26.475751266353665,37.182300075406985,True,True
86,26.41471215768397,37.2170281053528,True,True
87,26.370629581357345,37.2621218681577,True,True
88,26.288148018727668,37.2621218681577,True,True
89,26.158690132198533,37.2621218681577,True,True
90,25.969767185997387,37.25643938559057,True,True
91,25.736172200792048,37.25643938559057,True,True
92,25.56982891048444,37.25643938559057,True,True
93,25.481830137162177,37.27344035562605,True,True
94,25.42008209917727,37.29823919415849,True,True
95,25.37534830853051,37.2993016964415,True,True
96,25.32631382425665,37.30014840510525,True,True
97,25.28337656214777,37.2993016964415,True,True
98,25.234872473205485,37.30014840510525,True,True
99,25.17894894664765,37.2993016964415,True,True
100,25.106585958574044,37.29793977400328,True,True
101,24.897385038220413,37.29770938950674,True,True
102,24.67720269308151,37.29770938950674,True,True
103,24.62257438484015,37.29770938950674,True,True
104,24.52416752077709,37.350508230869565,True,True
105,24.369181128287096,37.36638482265728,True,True
106,24.30892483566643,37.37004548325573,True,True
107,24.258252993946865,37.38272483902195,True,True
108,24.217570932194786,37.38486859840326,True,True
109,24.213536356956705,37.39085208468754,True,True
110,24.206093838709485,37.39481884227755,True,True
111,24.19484522686152,37.40129992859237,True,True
112,24.08640356204852,37.40174767463081,True,True
113,23.86904861117879,37.402791562914345,True,True
114,23.754796973112686,37.41486444141219,True,True
115,23.71444288626412,37.41486444141219,True,True
116,23.67636079792561,37.42563601371501,True,True
117,23.67057008591201,37.43193279119612,True,True
118,23.63858634578664,37.43193279119612,True,True
119,23.61590870773357,37.43193279119612,True,True
120,23.55562918153121,37.4289579318335,True,True
121,23.45599783413689,37.40400702078978,True,True
122,23.36595657796766,37.3958572728704,True,True
123,23.30909389093507,37.39437213494672,True,True
124,23.27065346799258,37.39323921215435,True,True
125,23.200687502982355,37.39018311571687,True,True
126,23.10268213518125,37.39018311571687,True,True
127,22.977531365204324,37.36294991100436,True,True
128,22.890085335328337,37.36294991100436,True,True
129,22.797808976276784,37.36294991100436,True,True
130,22.785743541840915,37.36457746796933,True,True
131,22.749997127185846,37.36457746796933,True,True
132,22.680665471520573,37.36457746796933,True,True
133,22.585818203323463,37.34491874155843,True,True
134,22.56888246150324,37.34404539719797,True,True
135,22.53000858440788,37.34024506505931,True,True
136,22.48079507184696,37.33865875684674,True,True
137,22.40040047831061,37.32750743359213,True,True
138,22.22998806232303,37.29690982095947,True,True
139,22.108211659287903,37.26895230936549,True,True
140,22.061792650821,37.26860242349127,True,True
141,21.99177768144832,37.26366800610033,True,True
142,21.91854863800941,37.255334630253,True,True
143,21.85979484814539,37.24804948700268,True,True
144,21.743394983084613,37.24804948700268,True,True
145,21.733441883910217,37.255334630253,True,True
146,21.725798338922985,37.25309339674274,True,True
147,21.692447497949235,37.26036821078755,True,True
148,21.685290196392067,37.26644749786047,True,True
149,21.6681793665117,37.26644749786047,True,True
150,21.662815694819173,37.26644749786047,True,True
151,21.62157009412785,37.26644749786047,True,True
152,21.56344201486589,37.26429061792011,True,True
153,21.5036521141842,37.25765858602969,True,True
154,21.455749279069902,37.24812327278188,True,True
155,21.35717909667945,37.23154804599712,True,True
156,21.18698202382496,37.1989160276278,True,True
157,20.883693920665618,37.14384196601617,True,True
158,20.84362498448572,37.14384196601617,True,True
159,20.8009786588809,37.14384196601617,True,True
160,20.7793312650162,37.14384196601617,True,True
161,20.733995001004395,37.14384196601617,True,True
162,20.542670012292724,37.10534793018168,True,True
163,20.36540847234111,37.07377878846517,True,True
164,20.294493062463825,37.06978314351995,True,True
165,20.2706965378934,37.06936873257287,True,True
166,20.256505246890192,37.061232148399725,True,True
167,20.22824788059464,37.061232148399725,True,True
168,20.18707485523256,37.05389722547113,True,True
169,20.110650668799952,37.04146255087302,True,True
170,20.01518723681864,37.021629369270656,True,True
171,19.94909804093839,37.010795304344455,True,True
172,19.870044167578065,36.99723130420864,True,True
173,19.741093111921387,36.982233903223374,True,True
174,19.606821845417745,36.96833694566231,True,True
175,19.5821441782467,36.96742220262968,True,True
176,19.567761157315367,36.964511988375705,True,True
177,19.55805119760886,36.964511988375705,True,True
178,19.52146943093712,36.96283213893278,True,True
179,19.414084775246508,36.94326568100086,True,True
180,19.40024550095496,36.9403508589504,True,True
181,19.35792905242148,36.93937869735726,True,True
182,19.224206014959684,36.9291933274416,True,True
183,19.22070981045401,36.92501836875098,True,True
184,19.20922412565707,36.92373036848885,True,True
185,19.1577183309184,36.91798329172538,True,True
186,19.12388580451225,36.90818924991204,True,True
187,19.037448223332568,36.90120724263896,True,True
188,18.92222133385885,36.88144472852029,True,True
189,18.849428451932912,36.866092041696845,True,True
190,18.730021285447545,36.847274873378566,True,True
191,18.640127683403414,36.81932302636621,True,True
192,18.59503399215081,36.81443597042576,True,True
193,18.5267763650561,36.813029156350126,True,True
194,18.405430767908143,36.78482891294571,True,True
195,18.28055793141012,36.76076530868944,True,True
196,18.26318508067201,36.75635856056637,True,True
197,18.19820303838356,36.75627030363173,True,True
198,18.12870095246807,36.73095745216136,True,True
199,18.08676542115994,36.72886476766792,True,True
200,18.04697790290411,36.7259493234931,True,True
201,17.989756559441165,36.71465201181906,True,True
202,17.896920814334933,36.69337611047443,True,True
203,17.848550342139518,36.68463288420343,True,True
204,17.786092501981727,36.67823857932498,True,True
205,17.66488689410463,36.65582053144802,True,True
206,17.514954516525517,36.62209406992694,True,True
207,17.485474410573268,36.62047511489487,True,True
208,17.41752160435293,36.61506723288671,True,True
209,17.36988032114637,36.60332709667892,True,True
210,17.32721774401001,36.60245373788676,True,True
211,17.240295044290473,36.58516968626866,True,True
212,17.19209201329973,36.57558222294629,True,True
213,17.157583877534975,36.57125937632164,True,True
214,17.12876897906097,36.56621606522154,True,True
215,17.085902139104146,36.55704507035463,True,True
216,17.03965880684161,36.54357935358903,True,True
217,16.984464979076265,36.53851314385198,True,True
218,16.938302905960732,36.52310915334651,True,True
219,16.857484344782026,36.511365816645885,True,True
220,16.824047725800636,36.50370808802572,True,True
221,16.77045525374684,36.5008262844592,True,True
222,16.72036858553698,36.48825922834004,True,True
223,16.65107468018939,36.48046364757025,True,True
224,16.582218679006516,36.46797862780639,True,True
225,16.516065543439645,36.458014365185946,True,True
226,16.49493105479316,36.45363046262501,True,True
227,16.485352280579995,36.45305458425027,True,True
228,16.461844307715364,36.44875149977268,True,True
229,16.45218826309907,36.44672512593225,True,True
230,16.43776222435824,36.44453194663721,True,True
231,16.414451645130086,36.43761621870725,True,True
232,16.35565399141924,36.42905641476919,True,True
233,16.294842610510415,36.41336505235893,True,True
234,16.244004130870284,36.406603543711576,True,True
235,16.19658503006411,36.3979634504088,True,True
236,16.15303347782364,36.39387353484064,True,True
237,16.13657317574291,36.389945383038274,True,True
238,16.08168190408655,36.38297897819022,True,True
239,16.041351009982293,36.37295112709079,True,True
240,15.970696818777846,36.36269216604584,True,True
241,15.910898603241254,36.34412496902233,True,True
242,15.854732683424343,36.3414645541048,True,True
243,15.831801031850413,36.33240991311081,True,True
244,15.809044642846883,36.331408022290994,True,True
245,15.800265674862707,36.33042773729126,True,True
246,15.75937651693888,36.32843473305877,True,True
247,15.625365120434465,36.28943776369773,True,True
248,15.571497458750413,36.28836894776852,True,True
249,15.548489449957255,36.28786236642796,True,True
250,15.525869592435097,36.28384941404833,True,True
251,15.493534451840222,36.27590850893564,True,True
252,15.4634517681534,36.27089468143132,True,True
